ExamID,StudentID,CourseID,Duration,TotalScore,GradeChar,j
1,1,1,26,90,A,
2,2,1,29,60,C,
3,3,1,19,70,B,
4,4,1,14,90,A,
5,5,1,12,80,B,
6,6,1,20,70,B,
7,7,1,21,80,B,
8,8,1,11,100,A,
9,9,1,12,80,B,
10,10,1,15,60,C,
11,11,1,15,80,B,
12,12,1,20,60,C,
13,13,1,9,100,A,
14,14,1,8,80,B,
15,15,1,26,90,A,
16,16,1,22,70,B,
17,17,1,23,90,A,
18,18,1,23,90,A,
19,19,1,20,90,A,
20,20,1,11,100,A,
21,21,1,20,60,C,
22,22,1,22,80,B,
23,23,1,23,100,A,
24,24,1,25,70,B,
25,25,1,20,80,B,
26,26,1,21,90,A,
27,27,1,16,90,A,
28,28,1,23,70,B,
29,29,1,28,90,A,
30,30,1,1,90,A,
31,31,1,23,70,B,
32,32,1,10,100,A,
33,33,1,16,80,B,
34,34,1,27,100,A,
35,35,1,26,100,A,
36,36,1,10,90,A,
37,37,1,18,70,B,
38,38,1,17,100,A,
39,39,1,21,80,B,
40,40,1,21,80,B,
41,41,1,21,90,A,
42,42,1,8,90,A,
43,43,1,14,90,A,
44,44,1,20,70,B,
45,45,1,7,90,A,
46,46,1,13,90,A,
47,47,1,15,90,A,
48,48,1,29,100,A,
49,49,1,25,90,A,
50,50,1,23,90,A,
51,51,1,19,90,A,
52,52,1,23,100,A,
53,53,1,15,100,A,
54,54,1,19,80,B,
55,55,1,17,100,A,
56,56,1,13,90,A,
57,57,1,2,90,A,
58,58,1,21,90,A,
59,59,1,25,90,A,
60,60,1,11,90,A,
61,61,1,21,90,A,
62,62,1,25,90,A,
63,63,1,2,80,B,
64,64,1,21,90,A,
65,65,1,5,90,A,
66,66,1,29,80,B,
67,67,1,17,90,A,
68,68,1,20,90,A,
69,69,1,25,90,A,
70,70,1,24,80,B,
71,71,1,26,90,A,
72,72,1,11,70,B,
73,73,1,9,90,A,
74,74,1,24,80,B,
75,75,1,19,90,A,
76,76,1,4,60,C,
77,77,1,17,80,B,
78,78,1,20,90,A,
79,79,1,20,100,A,
80,80,1,23,70,B,
81,81,1,13,90,A,
82,82,1,12,90,A,
83,83,1,11,100,A,
84,84,1,17,70,B,
85,85,1,4,100,A,
86,86,1,23,60,C,
87,87,1,12,90,A,
88,88,1,29,80,B,
89,89,1,3,90,A,
90,90,1,18,90,A,
91,91,1,5,80,B,
92,92,1,22,100,A,
93,93,1,6,100,A,
94,94,1,22,50,C,
95,95,1,5,90,A,
96,96,1,15,100,A,
97,97,1,25,70,B,
98,98,1,23,80,B,
99,99,1,26,90,A,
100,100,1,14,80,B,
101,101,1,21,100,A,
102,102,1,3,90,A,
103,103,1,23,70,B,
104,104,1,17,90,A,
105,105,1,6,80,B,
106,106,1,27,90,A,
107,107,1,12,80,B,
108,108,1,24,90,A,
109,109,1,9,90,A,
110,110,1,8,60,C,
111,111,1,28,70,B,
112,112,1,19,80,B,
113,113,1,4,100,A,
114,114,1,10,80,B,
115,115,1,25,90,A,
116,116,1,28,70,B,
117,117,1,27,80,B,
118,118,1,12,100,A,
119,119,1,8,90,A,
120,120,1,19,100,A,
121,121,1,8,70,B,
122,122,1,5,90,A,
123,123,1,20,100,A,
124,124,1,27,80,B,
125,125,1,9,80,B,
126,126,1,10,100,A,
127,127,1,14,100,A,
128,128,1,21,90,A,
129,129,1,4,100,A,
130,130,1,24,100,A,
131,131,1,10,80,B,
132,132,1,5,90,A,
133,133,1,18,90,A,
134,134,1,18,90,A,
135,135,1,20,90,A,
136,136,1,25,100,A,
137,137,1,26,70,B,
138,138,1,23,100,A,
139,139,1,22,90,A,
140,140,1,5,70,B,
141,141,1,23,80,B,
142,142,1,2,90,A,
143,143,1,17,80,B,
144,144,1,4,70,B,
