ExamID,QuestionID
1,5
1,15
1,16
1,6
1,7
1,19
1,2
1,1
1,14
1,11
2,8
2,18
2,1
2,7
2,2
2,16
2,11
2,3
3,3
3,18
3,2
3,8
3,12
3,16
4,8
4,9
4,4
4,5
4,12
4,6
4,16
4,15
4,2
5,16
5,2
5,1
5,9
5,7
5,15
5,5
6,2
6,16
6,13
6,17
6,1
6,11
6,7
6,5
7,16
7,4
7,17
7,2
7,10
7,20
7,3
7,6
7,19
7,8
8,4
8,19
8,3
8,20
8,14
8,9
8,7
8,18
8,10
9,19
9,2
9,16
9,14
9,3
9,18
9,8
9,4
9,6
10,19
10,6
10,3
10,15
10,16
10,8
10,18
11,7
11,20
11,15
11,8
11,3
11,16
11,14
12,17
12,12
12,7
12,20
12,15
12,2
12,18
12,1
13,11
13,4
13,13
13,18
13,2
13,20
13,6
13,1
13,17
14,18
14,11
14,17
14,5
14,15
14,20
14,1
14,13
14,6
15,13
15,19
15,15
15,3
15,9
15,17
15,7
15,14
16,3
16,20
16,16
16,1
16,19
16,6
16,7
16,11
16,17
17,20
17,3
17,6
17,11
17,5
17,4
17,17
18,1
18,4
18,20
18,6
18,12
18,2
18,5
19,6
19,3
19,9
19,4
19,20
19,5
19,12
19,14
20,14
20,6
20,9
20,4
20,18
20,1
20,2
20,11
20,8
21,4
21,20
21,2
21,7
21,15
21,1
21,19
22,6
22,2
22,3
22,15
22,12
22,1
22,9
23,5
23,20
23,9
23,14
23,7
23,12
23,1
23,11
23,15
24,7
24,6
24,11
24,9
24,12
24,4
24,15
24,1
24,2
25,6
25,2
25,11
25,5
25,19
25,1
25,12
25,8
26,7
26,5
26,19
26,2
26,18
26,20
26,12
26,1
27,7
27,16
27,3
27,11
27,2
27,4
27,20
27,18
27,17
28,16
28,17
28,7
28,18
28,9
28,1
28,11
29,18
29,3
29,1
29,13
29,20
29,7
29,12
29,14
29,9
30,9
30,6
30,3
30,20
30,12
30,18
30,17
30,13
31,9
31,3
31,13
31,8
31,1
31,14
31,6
31,2
31,17
32,13
32,6
32,5
32,12
32,11
32,9
32,7
32,4
32,2
32,14
33,18
33,14
33,20
33,1
33,10
33,16
33,19
33,13
33,9
34,5
34,1
34,11
34,19
34,16
34,2
34,7
35,11
35,6
35,7
35,1
35,10
35,13
35,4
35,3
35,19
36,12
36,11
36,13
36,8
36,20
36,17
36,16
36,7
37,10
37,7
37,5
37,8
37,18
37,17
37,16
37,13
38,3
38,7
38,11
38,9
38,13
38,20
38,12
38,10
39,11
39,8
39,9
39,19
39,20
39,10
39,2
40,10
40,17
40,11
40,3
40,15
40,8
40,19
40,12
41,12
41,10
41,18
41,9
41,3
41,4
41,14
42,12
42,9
42,4
42,19
42,14
42,10
42,5
42,7
43,20
43,3
43,5
43,18
43,19
