JobID	StudentID	JobType	JobTitle	Position	Salary															
1	1	Remote	Data Analysis	Junior	17000															
2	2	Contract	Database Developer	Manager	19000															
3	3	Remote	Data Analysis	Trainee	12000															.
4	4	Contract	Database Developer	Junior	18000															
5	5	Contract	Data Analysis	Senior	20000															
6	6	Part Tine	Data Visualization	Manager	12000															
7	7	Full Time	Data Visualization	Junior	15000															
8	8	Contract	Database Developer	Junior	18000															
9	9	Part Tine	Data Analysis	Junior	16000															
10	10	Remote	Data Analysis	Senior	12000															
11	11	Full Time	Power BI Developer	Junior	17000															
12	12	Part Tine	Data Analysis	Senior	15000															
13	13	Part Tine	Data Analysis	Junior	12000															
14	14	Remote	Database Developer	Junior	15000															
15	15	Contract	Power BI Developer	Senior	11000															
16	16	Contract	Data Visualization	Intern	12000															
17	17	Part Tine	Data Analysis	Junior	12000															
18	18	Contract	Data Analysis	Junior	17000															
19	19	Contract	Database Developer	Trainee	12000															
20	20	Contract	Data Visualization	Junior	16000															
21	21	Part Tine	Data Analysis	Senior	20000															
22	22	Full Time	Database Developer	Intern	18000															
23	23	Remote	Database Developer	Manager	10000															
24	24	Full Time	Data Analysis	Junior	12000															
25	25	Part Tine	Power BI Developer	Intern	19000															
26	26	Contract	Data Scientist	Junior	12000															
27	27	Contract	Data Scientist	Junior	17000															
28	28	Remote	Database Developer	Senior	15000															
29	29	Part Tine	Database Admin	Junior	11000															
30	30	Full Time	Data Visualization	Junior	19000															
31	31	Full Time	Database Developer	Senior	10000															
32	32	Full Time	Data Analysis	Senior	20000															
33	33	Full Time	Database Developer	Senior	18000															
34	34	Remote	Database Admin	Manager	12000															
35	35	Part Tine	Data Analysis	Trainee	18000															
36	36	Contract	Database Developer	Junior	17000															
37	37	Full Time	Data Visualization	Senior	15000															
38	38	Full Time	Data Analysis	Junior	12000															
39	39	Contract	Database Admin	Intern	19000															
40	40	Contract	Database Developer	Senior	12000															
41	41	Contract	Database Admin	Intern	20000															
42	42	Remote	Power BI Developer	Senior	19000															
43	43	Part Tine	Data Analysis	Intern	23000															
44	44	Full Time	Data Visualization	Trainee	15000															
45	45	Contract	Data Analysis	Senior	23000															
46	46	Remote	Power BI Developer	Senior	19000															
47	47	Remote	Data Architect	Intern	17000															
48	48	Full Time	Data Visualization	Intern	15000															
49	49	Remote	Data Analysis	Junior	12000															
50	50	Full Time	Database Developer	Junior	8000															
51	51	Full Time	Data Analysis	Manager	9000															
52	52	Full Time	Database Developer	Junior	16000															
53	53	Remote	Database Admin	Junior	9000															
54	54	Part Tine	Database Developer	Manager	15000															
55	55	Remote	Database Developer	Junior	17000															
56	56	Remote	Power BI Developer	Junior	12000															
57	57	Part Tine	Data Visualization	Senior	16000															
58	58	Remote	Data Visualization	Junior	16000															
59	59	Full Time	Database Developer	Trainee	23000															
60	60	Part Tine	Database Admin	Senior	23000															
61	61	Remote	Data Architect	Trainee	18000															
62	62	Part Tine	Power BI Developer	Senior	19000															
63	63	Full Time	Power BI Developer	Junior	16000															
64	64	Part Tine	Data Visualization	Trainee	18000															
65	65	Remote	Database Developer	Junior	12000															
66	66	Contract	Data Analysis	Intern	16000															
67	67	Contract	Data Analysis	Trainee	16000															
68	68	Remote	Data Analysis	Junior	12000															
69	69	Contract	Database Admin	Senior	11000															
70	70	Full Time	Database Developer	Senior	12000															
71	71	Part Tine	Data Visualization	Senior	17000															
72	72	Contract	Data Visualization	Junior	16000															
73	73	Remote	Power BI Developer	Junior	8000															
74	74	Remote	Data Analysis	Junior	11000															
75	75	Full Time	Database Developer	Senior	17000															
76	76	Full Time	Database Developer	Junior	8000															
77	77	Part Tine	Database Admin	Trainee	11000															
78	78	Full Time	Power BI Developer	Junior	17000															
79	79	Remote	Power BI Developer	Junior	17000															
80	80	Part Tine	Data Visualization	Manager	10000															
81	81	Full Time	Database Developer	Junior	10000															
82	82	Contract	Data Visualization	Manager	12000															
83	83	Full Time	Database Developer	Manager	12000															
84	84	Part Tine	Database Developer	Junior	15000															
85	85	Full Time	Data Visualization	Senior	12000															
86	86	Remote	Data Visualization	Junior	15000															
87	87	Contract	Data Analysis	Junior	20000															
88	88	Full Time	Data Architect	Intern	12000															
89	89	Remote	Database Developer	Trainee	10000															
90	90	Part Tine	Data Analysis	Senior	10000															
91	91	Remote	Power BI Developer	Junior	12000															
92	92	Part Tine	Data Analysis	Senior	11000															
93	93	Part Tine	Power BI Developer	Junior	12000															
94	94	Remote	Data Visualization	Junior	15000															
95	95	Full Time	Database Developer	Intern	23000															
96	96	Part Tine	Data Analysis	Junior	23000															
97	97	Part Tine	Database Developer	Junior	12000															
98	98	Full Time	Database Developer	Junior	17000															
99	99	Full Time	Database Developer	Senior	15000															
100	100	Remote	Data Analysis	Senior	18000															
101	101	Contract	Power BI Developer	Intern	17000															
102	102	Contract	Data Architect	Senior	12000															
103	103	Remote	Database Developer	Junior	12000															
104	104	Contract	Database Developer	Junior	11000															
105	105	Part Tine	Data Visualization	Junior	23000															
106	106	Remote	Data Visualization	Senior	9000															
107	107	Full Time	Database Developer	Junior	12000															
108	108	Contract	Data Visualization	Senior	12000															
109	109	Remote	Data Analysis	Senior	9000															
110	110	Full Time	Power BI Developer	Manager	12000															
111	111	Part Tine	Data Visualization	Manager	17000															
112	112	Full Time	Database Developer	Junior	16000															
113	113	Remote	Database Developer	Senior	20000															
114	114	Full Time	Power BI Developer	Junior	17000															
115	115	Remote	Data Visualization	Senior	18000															
116	116	Full Time	Database Admin	Junior	16000															
117	117	Full Time	Data Scientist	Senior	12000															
118	118	Remote	Database Admin	Junior	19000															
119	119	Full Time	Data Visualization	Senior	23000															
120	120	Contract	Data Analysis	Senior	17000															
121	121	Contract	Power BI Developer	Junior	12000															
122	122	Full Time	Data Visualization	Senior	17000															
123	123	Part Tine	Data Scientist	Senior	12000															
124	124	Part Tine	Database Developer	Junior	9000															
125	125	Part Tine	Data Scientist	Senior	11000															
126	126	Contract	Data Visualization	Junior	9000															
127	127	Full Time	Power BI Developer	Senior	12000															
128	128	Remote	Power BI Developer	Senior	17000															
129	129	Remote	Database Developer	Senior	16000															
130	130	Remote	Power BI Developer	Senior	23000															
131	131	Part Tine	Data Visualization	Junior	12000															
132	132	Full Time	Data Visualization	Junior	12000															
133	133	Full Time	Power BI Developer	Senior	17000															
134	134	Contract	Power BI Developer	Senior	16000															
135	135	Remote	Database Developer	Intern	15000															
136	136	Part Tine	Database Developer	Intern	17000															
137	137	Contract	Data Visualization	Intern	12000															
138	138	Full Time	Database Developer	Senior	15000															
139	139	Remote	Data Architect	Intern	17000															
140	140	Full Time	Power BI Developer	Senior	12000															
141	141	Remote	Database Developer	Manager	12000															
142	142	Remote	Database Developer	C-Level	20000															
143	143	Contract	Database Developer	Junior	12000															
144	144	Contract	Power BI Developer	Manager	9000															
145	145	Full Time	Data Visualization	Junior	20000															
146	146	Part Tine	Power BI Developer	Junior	15000															
147	147	Contract	Power BI Developer	Senior	23000															
148	148	Contract	Data Scientist	Junior	16000															
149	149	Remote	Power BI Developer	Senior	8000															
150	150	Part Tine	Power BI Developer	Senior	10000															
151	151	Part Tine	Database Developer	Junior	12000															
152	152	Part Tine	Data Scientist	Junior	19000															
153	153	Part Tine	Power BI Developer	Junior	17000															
154	154	Remote	Database Admin	Senior	8000															
155	155	Part Tine	Power BI Developer	Trainee	11000															
156	156	Remote	Data Visualization	Junior	12000															
157	157	Part Tine	Data Visualization	Junior	15000															
158	158	Remote	Data Analysis	Intern	19000															
159	159	Contract	Power BI Developer	Senior	20000															
160	160	Remote	Database Developer	Junior	12000															
161	161	Full Time	Power BI Developer	Trainee	10000															
162	162	Remote	Database Developer	Senior	23000															
163	163	Part Tine	Data Visualization	Manager	11000															
164	164	Part Tine	Power BI Developer	Senior	9000															
165	165	Remote	Database Developer	Junior	8000															
166	166	Full Time	Power BI Developer	Manager	12000															
167	167	Part Tine	Data Analysis	Intern	8000															
168	168	Remote	Data Analysis	Senior	12000															
169	169	Contract	Data Visualization	Junior	15000															
170	170	Contract	Data Analysis	Senior	19000															
171	171	Contract	Power BI Developer	Manager	23000															
172	172	Full Time	Power BI Developer	Junior	9000															
173	173	Remote	Data Architect	Junior	18000															
174	174	Full Time	Data Visualization	Senior	11000															
175	175	Part Tine	Database Developer	Junior	12000															
176	176	Part Tine	Data Visualization	Intern	18000															
177	177	Part Tine	Database Developer	Senior	12000															
178	178	Full Time	Power BI Developer	Junior	15000															
179	179	Contract	Power BI Developer	Junior	12000															
180	180	Remote	Power BI Developer	Junior	15000															
181	181	Remote	Power BI Developer	Junior	19000															
182	182	Full Time	Power BI Developer	Trainee	23000															
183	183	Remote	Data Visualization	Trainee	15000															
184	184	Part Tine	Power BI Developer	Junior	17000															
185	185	Part Tine	Data Visualization	Junior	16000															
186	186	Full Time	Data Analysis	Trainee	11000															
187	187	Part Tine	Data Visualization	Senior	17000															
188	188	Part Tine	Data Analysis	Senior	12000															
189	189	Full Time	Database Developer	Senior	8000															
190	190	Part Tine	Power BI Developer	Manager	12000															
191	191	Contract	Data Scientist	Junior	17000															
192	192	Remote	Data Visualization	Senior	9000															
193	193	Full Time	Data Analysis	Intern	15000															
194	194	Remote	Database Developer	Junior	20000															
195	195	Contract	Data Analysis	Senior	12000															
196	196	Part Tine	Data Analysis	Senior	12000															
197	197	Full Time	Database Developer	Junior	15000															
198	198	Full Time	Data Analysis	Junior	16000															
199	199	Full Time	Database Developer	Intern	15000															
200	200	Full Time	Power BI Developer	Intern	11000															
201	201	Part Tine	Data Analysis	Senior	18000															
202	202	Remote	Data Visualization	Junior	23000															
