StudentID,City,Town
1,Alexandria,Mit Yazid
2,Minya,Ras Gharib
3,Mansoura,Manfalut
4,Aswan,Maadi
5,Minya,Kharga
6,Red Sea,New Sohag
7,Mansoura,El Qanater El Khayreya
8,Beheira,Minyet El Nasr
9,Giza,Minyet El Nasr
10,Giza,El Husseiniya
11,Kafr El Sheikh,Kotoor
12,Alexandria,Arish
13,Alexandria,Abu El Matamir
14,Ismailia,New Aswan
15,Cairo,Mit Rahina
16,Luxor,El Bayadiya
17,Alexandria,El Rahmaniya
18,Cairo,Sherbin
19,Cairo,Itsa
20,Cairo,Menouf
21,Gharbia,Sheikh Zuweid
22,Dakahlia,Safaga
23,Minya,New Akhmim
24,Giza,El Gamaliya
25,Port Said,El Ibrahimiya
26,Cairo,Talkha
27,Alexandria,Abu Tesht
28,BeniSuef,El Dabaa
29,Asyut,Mit Salsil
30,Cairo,Sherbin
31,Giza,El Rahmaniya
32,Red Sea,Abu Hummus
33,Alexandria,New Aswan
34,Giza,Sers El Lyan
35,Asyut,Samanoud
36,Faiyum,Awsim
37,Faiyum,Deir Mawas
38,Alexandria,Kafr Shukr
39,Monufia,El Manzala
40,Cairo,Hurghada
41,Alexandria,Mit Rahina
42,Alexandria,Matai
43,Cairo,Kotoor
44,North Sinai,Hurghada
45,Mansoura,Kafr Saqr
46,Cairo,Sers El Lyan
47,Qalyubia,El Rahmaniya
48,Minya,Dekernes
49,Gharbia,Bilbeis
50,Alexandria,Mit Rahina
51,Mansoura,Qallin
52,Suez,Bush
53,Alexandria,Juhayna
54,Aswan,El Mahalla El Kubra
55,Alexandria,Sahel Selim
56,Cairo,Ihnasiya
57,North Sinai,Dar El Salam
58,Dakahlia,El Kanayat
59,Qalyubia,Beni Mazar
60,South Sinai,Monsha'at El-Qanater
61,Mansoura,El Balyana
62,Alexandria,Kafr El Zayat
63,Giza,Hosh Essa
64,Minya,Mit Sudan
65,Giza,New Qena
66,Cairo,El Hamam
67,Ismailia,Minyet El Nasr
68,Cairo,New Alamein
69,Cairo,El Senbellawein
70,Giza,El Kareen
71,Mansoura,Maadi
72,Gharbia,Shibin El Qanater
73,Cairo,El Santa
74,Giza,Kafr Shukr
75,Cairo,Esna
76,Beheira,Tamiya
77,Alexandria,Abu Hummus
78,Giza,El Maragha
79,Minya,El Mansha
80,Qena,Manfalut
81,Red Sea,El Hamam
82,Cairo,El Shorouk
83,Cairo,New Borg El Arab
84,Suez,Mashtool El Souk
85,Beheira,Mit Abu Ghaleb
86,Giza,Itsa
87,Dakahlia,6th of October
88,BeniSuef,Rosetta
89,Cairo,El Kanayat
90,Giza,El Shorouk
91,Cairo,El Balyana
92,Cairo,Saint Catherine
